Title,Date,End,Description,Media,Place,Location,Location_Original,Source,Source URL
The Oakland General Strike,02/12/1946,,"<p>Today we celebrate the 65th anniversary of the Oakland General Strike.</p><p><a href=""http://www.lawyersgunsmoneyblog.com/2011/12/this-day-in-labor-history-december-2-1946"">Read whole article</a></p>",,"Oakland, CA","44.4521637,-64.3551639",,,
Merger of the AFL and CIO,05/12/1955,,"<p>On this day in 1955, the American Federation of Labor and the Congress of Industrial Organizations merged into the AFL-CIO. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2011/12/this-day-in-labor-history-december-5-1955"">Read whole article</a></p>",,,#N/A,,,
Founding of the Knights of Labor,28/12/1869,,"<p>On this date in 1869, the Knights of Labor were founded in Philadelphia, Pennsylvania. The organization grew slowly, but by the late 1870s, the Knights had become the nation’s largest labor union, remaining so until 1886. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2011/12/this-day-in-labor-history-december-28-1869"">Read whole article</a></p>",,"Philadelphia, PA","39.9527237,-75.1635262",,,
Murder of former Idaho Governor Frank Steunenberg,30/12/1905,,"<p>On December 30, 1905, former Idaho governor Frank Steunenberg walked home after a snowstorm in Caldwell, Idaho. When he arrived he pulled open his outside gate, triggering a bomb that blew him ten feet into the air and killing him. The assassination of Steunenberg led to one of the biggest show trials in American history, as prosecutors decided to try several leading American radicals, most notably Western Federation of Miners executive and future Industrial Workers of the World head Big Bill Haywood. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2011/12/this-day-in-labor-history-december-30-1905"">Read whole article</a></p>",,"Caldwell, Idaho","43.6678736,-116.6894156",,,
NAFTA,01/01/1994,,"<p>On January 1, 1994, the North American Free Trade Agreement went into effect. NAFTA intended to bring down trade barriers between Canada, the United States, and Mexico. After a long fight against NAFTA’s passage by labor, environmental groups, Mexican farmers, and many other constituencies, the support of President Bill Clinton clinched its success. Clinton promised that “NAFTA means jobs. American jobs, and good-paying American jobs. If I didn’t believe that, I wouldn’t support this agreement.” </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2012/01/this-day-in-labor-history-january-1-1994"">Read whole article</a></p>",,,#N/A,,,
Murder of UMWA reformer Jock Yablonski,05/01/1970,,"<p>On January 5, 1970, the body of United Mine Workers of American reformer Jock Yablonski was discovered, six days after his death. Yablonski was murdered on the orders of UMWA president Tony Boyle. One of the worst things a labor union president has ever done in this country, the aftermath of Yablonski’s murder both opened the UMWA for necessary reform and helped give unions a reputation for corruption and violence that still unjustly taints it today. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2012/01/this-day-in-labor-history-january-5-1970"">Read whole article</a></p>",http://lawyersgunsmon.wpengine.com/wp-content/uploads/2012/01/John-L.-Lewis.jpg,,#N/A,,,
The Seattle General Strike,06/02/1919,,"<p>On February 6, 1919, the Seattle General Strike began. This event, the most successful general strike in American history, was also arguably the most serious working-class threat to industrial capitalism industrialists ever faced. The forces of order certainly felt this way. It also spurred on the Red Scare, deportation of radicals, and crackdown on labor activism that dominated America after World War I. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2012/02/this-day-in-labor-history-february-6-1919"">Read whole article</a></p>",,"Seattle,WA","47.6038321,-122.3300624",,,
The Flint Sit-Down Strike ends.,11/02/1937,,"<p>On this date in 1937, the Flint Sit-Down strike ended after General Motors recognized the United Auto Workers at the bargaining agent for GM employees. This titanic victory legitimized the AFL and the CIO more broadly, ushering in the nation’s great period of industrial unionism.</p><p><a href=""http://www.lawyersgunsmoneyblog.com/2012/02/this-day-in-labor-history-february-11-1937"">Read whole article</a></p>",,"Flint, MI","43.0161693,-83.6900211",,,
Beating of the women and children at Lawrence,24/02/1912,,"<p>On this date in 1912, the police force of Lawrence, Massachusetts brutally beat a group of children and their mothers as the children attempted to board a train to stay with union supporters in Philadelphia. This tactic, which had brought much attention to the textile workers’ cause, infuriated the mill owners who ordered the police to stop this from happening again.</p><p><a href=""http://www.lawyersgunsmoneyblog.com/2012/02/this-day-in-labor-history-february-24-1912"">Read whole article</a></p>",,"Lawrence, MA","42.7070354,-71.1631137",,,
Triangle Shirtwaist Fire,25/03/1911,,"<p>On March 25, 1911, 146 workers at the Triangle Shirtwaist Factory in New York City died when the building in which they worked caught on fire. One of the most important events in American labor history, the Triangle Fire brought attention to the terrible sweatshop conditions of American labor, helped spawn important labor reforms, and became a touchstone for justice advocates over the next century. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2012/03/this-day-in-labor-history-march-25-1911"">Read whole article</a></p>",,New York City,"40.7127281,-74.0060152",,,
Assassination of Martin Luther King during sanitation strike in Memphis,04/04/1968,,"<p>On this date in 1968, Martin Luther King, Jr. was assassinated by James Earl Ray while in Memphis to support a strike by the city’s sanitation workers. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2012/04/this-day-in-labor-history-april-4-1968"">Read whole article</a></p>",,"Memphis, TN","35.1490215,-90.0516285",,,
Ludlow Massacre,20/04/1914,,"<p>On April 20, 1914, members of the Colorado National Guard, along with a strikbreaking militia employed by the Colorado Fuel &amp; Iron Company, a corporation owned by John D. Rockefeller, Jr., opened fire on a tent camp of strikers at Ludlow, in the coal country of southern Colorado, north of Trinidad. At least 19 people died in the tent camp that day, mostly wives and children of the strikers. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2012/04/this-day-in-labor-history-april-20-1914"">Read whole article</a></p>",,"Ludlow, CO","37.3331855,-104.5838786",,,
Coxey’s Army,30/04/1894,,"<p>On April 30, 1894, Coxey’s Army, a rag-tag group of unemployed Americans, marched into Washington, D.C., demanding federal jobs for the unemployed. Articulating ideas that would be accepted by New Dealers forty years later, Coxey’s Army scared the nation’s political and capitalist elites, who feared hordes of the unworthy poor were attacking the fundamental tenets of capitalism. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2012/04/this-day-in-labor-history-april-30-1894"">Read whole article</a></p>",,"Washington, D.C.","38.8950092,-77.0365625",,,
Haymarket Riot,04/05/1886,,"<p>On March 4, 1886, during a protest march against police brutality in Chicago’s Haymarket Square, a bomb went off in the middle of a group of policemen, killing 7 officers. The aftermath of the Haymarket bombing showed the fear American capitalists had of working-class ideologies, the lack of civil liberties during the Gilded Age, and the tenuousness of labor organizations during these years of class formation. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2012/05/this-day-in-labor-history-may-4-1886"">Read whole article</a></p>",,"Chicago, IL","41.8755616,-87.6244212",,,
Longshoremen strike begins in San Francisco,09/05/1934,,"<p>On this date in 1934, longshoremen on the West Coast walked off their jobs, beginning of the largest strikes in the history of the region and helping feed the move toward industrial unionism that transformed American labor in the 1930s. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2012/05/this-day-in-labor-history-may-9-1934"">Read whole article</a></p>",http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2012/05/164.jpg,,#N/A,,,
Minneapolis Teamsters Strike,16/05/1934,,"<p>In the early 1930s, the Teamsters were already a conservative and often corrupt union, particularly in the upper eschelons of leadership. But the locals were a different story. Because they organized truck drivers, the workplace of teamsters was the road. They saw a lot of worksites and talked to a lot of different people. They developed a strong sense of solidarity with other workers and their struggles. On the local level, this atmosphere could help generate radicalism. Such was the case in Minneapolis where members of the Communist League of America took control of Local 574. By working in the coldest, harshest conditions, they organized the coal drivers in the winter of 1934, forcing employers to cave so that coal could be delivered. This success led truckers to join Local 574 in droves. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2012/05/this-day-in-labor-history-may-16-1934"">Read whole article</a></p>",http://lawyersgunsmon.wpengine.com/wp-content/uploads/2012/05/ibt.jpg,"Minneapolis, MN","44.9706705,-93.26821774",,,
Matewan Massacre,19/05/1920,,"<p>On this date 92 years ago, the Matewan Massacre took place in the small town of Matewan, West Virginia. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2012/05/this-day-in-labor-history-may-19-1920"">Read whole article</a></p>",,"Matewan, WV","37.622049,-82.1631894",,,
Memorial Day Massacre in Chicago,30/05/1937,,"<p>On this date in 1937, Chicago police opened fire on strikers in front of the Republic Steel mill, killing 10 workers. Part of the “Little Steel” strike, where smaller steel corporations refused to follow U.S. Steel into signing contracts with the Steel Workers Organizing Committee (later United Steelworkers of America), the Memorial Day Massacre was one of the last great spasms of organized, lethal state violence against labor in American labor history.</p><p><a href=""http://www.lawyersgunsmoneyblog.com/2012/05/this-day-in-labor-history-may-30-1937"">Read whole article</a></p>",,"Chicago, IL","41.8755616,-87.6244212",,,
Detroit Hate Strike,06/06/1943,,"<p>On June 6, 1943, nearly 30 leaders of the Packard Hate Strike in a United Auto Workers-organized plant in Detroit were suspended from their jobs. The culmination of a series of white supremacist wildcat strikes in the first half of 1943, the Packard Hate Strike shows both the tenuousness of the white working class’ commitment to their unions as well as the progressive leadership of the United Auto Workers in standing up to its own members in support of class solidarity regardless of race. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2012/06/this-day-in-labor-history-june-6-1943"">Read whole article</a></p>",http://lawyersgunsmon.wpengine.com/wp-content/uploads/2012/06/Packard_Strike.jpg,"Detroit,MI","42.3315509,-83.0466403",,,
President Truman vetoes Taft-Hartley Act,20/06/1947,,"<p>On this date in 1947, President Harry S. Truman vetoed the odious Taft-Hartley Act, the most vile piece of labor legislation in American history. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2012/06/this-day-in-labor-history-june-20-1947"">Read whole article</a></p>",,,#N/A,,,
Pullman Strike,26/06/1894,,"<p>On this day in 1894, the American Railway Union, headed by Eugene Debs, called a nationwide boycott in solidarity with their striking members at Pullman, Illinois. This action turned a small strike into one of the largest labor actions in the nation to that date, led to the pioneering use of the injunction to crush labor unions, and ended with President Grover Cleveland calling in the U.S. military to serve as a private army for the railroads, ending the strike. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2012/06/this-day-in-labor-history-june-26-1894"">Read whole article</a></p>",http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2012/06/ihy9412081.jpg,"Chicago, IL","41.8755616,-87.6244212",,,
Paterson Textile Strike of 1835,03/07/1835,,"<p>On July 3, 1835, children employed in Paterson, New Jersey’s textile mills went on strike, demanding an 11 hour day and 6 day week. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2012/07/this-day-in-labor-history-july-3-1835"">Read whole article</a></p>",,"Paterson, NJ","40.9167654,-74.171811",,,
People’s Party Convention,04/07/1892,,"<p>On this date in 1892, the People’s Party held its first convention in Omaha, Nebraska. Building upon two decades of rural labor’s deep dissatisfaction with the Gilded Age, the Populists articulated a powerful challenge to the unregulated capitalism of the day. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2012/07/this-day-in-labor-history-july-4-1892"">Read whole article</a></p>",http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2012/06/p02.jpg,"Omaha, Nebraska","41.2587459,-95.9383758",,,
"Miners outside of Coeur d’Alene, Idaho blow up the Frisco Mill",11/07/1892,,"<p>On July 11, 1892 striking silver miners in Coeur d’Alene, Idaho blew up the Frisco Mill, a mine building filled with guards, after getting into a firefight with Pinkertons, killing two mine employee and taking about 60 mine guards prisoner. This led the governor of Idaho to declare martial law over the mining district, crushing the mine strike. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2012/07/this-day-in-labor-history-july-11-1892"">Read whole article</a></p>",http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2012/07/Hydraulic_Mining_in_Idaho.jpg,"Coeur d’Alene, Idaho","47.6742994,-116.7811531",,,
United Farm Workers force growers into the first union contract in the history of California agricultural labor,29/07/1970,,"<p>On this date in 1970, the United Farm Workers achieved its greatest victory, ending its five-year grape boycott after growers agreed to a contract, the first in the history of California farm labor. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2012/07/this-day-in-labor-history-july-29-1970"">Read whole article</a></p>",http://lawyersgunsmon.wpengine.com/wp-content/uploads/2012/07/h97.1.910_edit.jpg,California,"36.7014631,-118.7559974",,,
Air Traffic Controllers go on strike in biggest disaster in organized labor’s history.,03/08/1981,,"<p>On August 3, 1981, the nation’s air traffic controllers went on strike in arguably the greatest disaster in the history of American organized labor. Ronald Reagan’s busting of the union led to a new period of corporate anti-union attacks and served as a precursor to the current Republican-led campaign against public sector unions in Wisconsin, Ohio, and across the country. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2012/08/this-day-in-labor-history-august-3-1981"">Read whole article</a></p>",,,#N/A,,,
Creation of the Bracero Program.,04/08/1942,,"<p>On August 4, 1942, the United States and Mexico made an agreement to deliver contract Mexican labor to American farmers in order to serve as cheap replacement labor during World War II. While the Bracero Program helped fill the labor shortages, it also opened up a new era of Americans exploiting Mexican labor. The abuses associated with the Bracero Program helped lead to a number of social changes in the United States, including the Chicano Movement, the United Farm Workers, and the Immigration Act of 1965. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2012/08/this-day-in-labor-history-august-4-1942"">Read whole article</a></p>",,,#N/A,,,
Nat Turner’s Rebellion.,21/08/1831,,"<p>On this date in 1831, Nat Turner, a slave in Southhampton County, Virginia, led the largest slave revolt in the history of the United States, killing 60 white people before being brutally put down by the militia. This event frightened the slaveholding class that believed their human property could slip from them at any time, leading to increasingly draconian measures across the South to institute control over slave labor. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2012/08/this-day-in-labor-history-august-21-1831"">Read whole article</a></p>",,"Southhampton County, Virginia","36.8920884,-76.388914",,,
Execution of Sacco and Vanzetti,23/08/1927,,"<p>On August 23, 1927, the state of Massachusetts executed two Italian immigrant anarchists by the names of Nicola Sacco and Bartolomeo Vanzetti for the murder of two men in a 1920 armed robbery in South Braintree. Although the two men may or may not have been involved in the crime, as Italian anarchists, they were on trial for their beliefs as much as the murder. Despite the lack of concrete evidence and international outrage over the miscarriage of justice, the state of Massachusetts railroaded them into the electric chair. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2012/08/this-day-in-labor-history-august-23-1927"">Read whole article</a></p>",http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2012/08/USAsacco2.jpg,Massachusetts,"42.3788774,-72.032366",,,
Founding of the Brotherhood of Sleeping Car Porters,25/08/1925,,"<p>On this date in 1925, the Brotherhood of Sleeping Car Porters was founded. Led by A. Philip Randolph, this labor union became the most important civil rights organization in mid-20th century America, arguably as important as the NAACP.</p><p><a href=""http://www.lawyersgunsmoneyblog.com/2012/08/this-day-in-labor-history-august-25-1925"">Read whole article</a></p>",,,#N/A,,,
Rock Springs Massacre,02/09/1885,,"<p>On September 2, 1885, white miners in Rock Springs, Wyoming decided to exterminate the town’s entire Chinese community. Whites killed at least 28 Chinese miners in the Rock Springs Massacre, demonstrated the power of white supremacy to the Gilded Age white working class, and is a prime example of how employers have fomented racial tension throughout much of American history. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2012/09/this-day-in-labor-history-september-2-1885"">Read whole article</a></p>",http://lawyersgunsmon.wpengine.com/wp-content/uploads/2012/09/Rock-Springs.jpg,"Rock Springs, Wyoming","41.5869225,-109.2047867",,,
"Tobacco workers win contract in North Carolina, starting CIO’s Operation Dixie campaign. ",22/09/1946,,"<p>On September 22, 1946, the Food, Tobacco, Agricultural &amp; Allied Workers of America (FTA) reached a contract agreement with the Piedmont Tobacco Company, marking an early victory in the CIO’s Operation Dixie campaign. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2012/09/this-day-in-labor-history-september-22-1946"">Read whole article</a></p>",,"Winston-Salem, North Carolina","36.0998131,-80.2440518",,,
International Woodworkers of America Local 3-101 holds a monthly union meeting,23/10/1976,,"<p>On October 23, 1976, International Woodworkers of America Local 3-101 in Everett, Washington had its monthly union meeting. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2012/10/this-day-in-labor-history-october-23-1976"">Read whole article</a></p>",,"Everett, Washington","47.9673056,-122.2013998",,,
Joe Hill executed in Utah,19/11/1915,,"<p>On November 19, 1915, the state of Utah executed I.W.W. organizer Joe Hill for a murder he almost certainly did not commit. But he was an Wobbly and dispensable to society, especially in Utah, a starkly conservative western state outraged by the sheer existence of these radicals. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2012/11/this-day-in-labor-history-november-19-1915"">Read whole article</a></p>",,Utah,"39.4225192,-111.7143584",,,
Thibodaux Massacre,22/11/1887,,"<p>On November 22, 1887, a group of white vigilantes crushed a Knights of Labor led strike of black sugar workers in the fields around Thibodaux, Louisiana. Fighting back against largest black social movement in the state since the end of Reconstruction, whites killed dozens and perhaps hundreds of black workers, seeking to take control of the racial hierarchy, state politics, and labor relations back from empowered African-Americans. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2012/11/this-day-in-labor-history-november-22-1887"">Read whole article</a></p>",http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2012/11/7c7b506daa8ffed8efe7cabeaca86c43_1M.jpg,"Thibodaux, Louisiana.","29.7957633,-90.822871",,,
Ratification of the 13th Amendment.,06/12/1865,,"<p>On December 6, 1865, the legislature of Georgia ratified the 13th Amendment to the Constitution, ending slavery. Arguably, the single most important event in the history of American labor, the official end to slavery closed a chapter in the nation’s race-based labor system, a system that still remains in important forms to the present. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2012/12/this-day-in-labor-history-december-6-1865"">Read whole article</a></p>",http://lawyersgunsmon.wpengine.com/wp-content/uploads/2012/12/Amendment.jpg,Georgia,"32.3293809,-83.1137366",,,
Creation of the Colored Farmers Alliance,11/12/1886,,"<p>On December 11, 1886, the Colored Farmers’ Alliance was established in Lovelady in Houston County, Texas. This organization may have accomplished little in concrete gains, but it represented the brave attempt of black farmers to avoid tenancy, sharecropping, and other forms of white controlled labor. It also as played an important role in the broader farmer movement to protect themselves from the rapacity of Gilded Age capitalism.</p><p><a href=""http://www.lawyersgunsmoneyblog.com/2012/12/this-day-in-labor-history-december-11-1886"">Read whole article</a></p>",http://lawyersgunsmon.wpengine.com/wp-content/uploads/2012/12/Cotton.jpg,"Lovelady, TX","31.1268496,-95.4454992",,,
"President Kennedy issues Executive Order 10988, authorizing collective bargaining for public workers",17/01/1962,,"<p>Public sector workers were not granted collective bargaining rights under the National Labor Relations Act; as great as that law was for American labor, there were actually a number of important categories of workers left out, including agricultural labor and government workers. Throughout the 1950s, the labor movement fought for public sector unionism, which began to move liberal Democratic politicians toward accepting it. In the 1950s, the mayors of Philadelphia and New York (the latter being Robert Wagner Jr., son of the author of the NLRA), created bargaining for municipal employees while Wisconsin instituted the first collective bargaining for state employees in 1959 and then expanded a few days before Kennedy’s 1962 executive order.  </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2013/01/this-day-in-labor-history-january-17-1962"">Read whole article</a></p>",,,#N/A,,,
March on Washington Movement leads to end of official segregation in defense industry.,25/01/1941,,"<p>The civil rights movement was perking up in the 1930s. Between the defense of the Scottsboro Boys, cases that led to the integration of the University of Maryland and University of Missouri law schools, and other small but significant victories, civil rights leaders had hope for the future. As the nation turned its attention to fascism in the late 1930s and President Franklin Roosevelt began to prepare the nation for war, civil rights leaders hoped that African-Americans would see their share of economic advancement. But persistent discrimination from both employers and labor unions meant that defense work remained strictly segregated. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2013/01/this-day-in-labor-history-january-25-1941"">Read whole article</a></p>",http://lawyersgunsmon.wpengine.com/wp-content/uploads/2013/01/3.5a.jpg,,#N/A,,,
Cripple Creek gold miners strike,07/02/1894,,"<p>On February 7, 1894, gold miners near Cripple Creek, Colorado walked off the job, leading to one of the biggest victories for organized labor in the Gilded Age after the state of Colorado intervened on the side of the workers. This strike made the Western Federation of Miners the major labor organization among western miners, as well as a reputation for violence that made it unacceptable to conservative labor leaders in the American Federation of Labor. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2013/02/this-day-in-labor-history-february-7-1894"">Read whole article</a></p>",http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2013/02/20120207_cripplecreek2.jpg,"Cripple Creek, Colorado","38.7466555,-105.1783149",,,
Grover Cleveland signs the Dawes Act.,08/02/1887,,"<p>On February 8, 1887, President Grover Cleveland signed the Dawes Severalty Act into law. The Dawes Act created a process to split up Indian reservations in order to create individual parcels of land and then sell the remainder off to white settlers. One of the worst laws in American history, the Dawes Act is not only a stark reminder of Euro-American colonialism and the dispossession of indigenous peoples, but also of the role dominant ideas of work on the land have in promoting racist and imperialist ends. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2013/02/this-day-in-labor-history-february-8-1887-2"">Read whole article</a></p>",,,#N/A,,,
Sons of Vulcan win nation’s first union contract,13/02/1865,,"<p>On February 13, 1865, the Sons of Vulcan, the first American union in iron and steel, ended its strike, leading to the first union contract in American history. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2013/02/this-day-in-labor-history-february-13-1865"">Read whole article</a></p>",,,#N/A,,,
Supreme Court rules in Oncale v. Sundonwer Offshore Services. Same-sex sexual harassment.,04/03/1998,,"<p>On March 4, 1998, the U.S. Supreme Court ruled for the plaintiff in <em>Oncale</em> v. <em>Sundowner Offshore Services</em>, deciding that Title VII of the Civil Rights Act of 1964 applied to same-sex sexual harassment, and creating a landmark expansion of judicial oversight into the workplace. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2013/03/this-day-in-labor-history-march-4-1998"">Read whole article</a></p>",,,#N/A,,,
River Rouge march and repression.,07/03/1932,,"<p>On March 7, 1932, several thousand unemployed workers marched toward Henry Ford’s River Rouge plant in Dearborn, Michigan. Upon reaching the complex, the city police and Ford’s armed guards, very similar entities, opened fire on the marchers, killing five and wounding more than 60. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2013/03/this-day-in-labor-history-march-7-1932"">Read whole article</a></p>",,"Dearborn, Michigan","42.3222599,-83.1763145",,,
